,fold,metric,precision,recall,f1-score,support
0,0,0,0.125,0.06896551724137931,0.08888888888888889,290.0
1,0,1,0.3168724279835391,0.29615384615384616,0.30616302186878724,1300.0
2,0,2,0.13821138211382114,0.1552511415525114,0.14623655913978498,1095.0
3,0,3,0.020202020202020204,0.024096385542168676,0.02197802197802198,415.0
4,0,accuracy,0.18870967741935485,0.18870967741935485,0.18870967741935485,0.18870967741935485
5,0,macro avg,0.1500714575748451,0.13611672262247637,0.1408166229688708,3100.0
6,0,weighted avg,0.19609982521841077,0.18870967741935485,0.1913031024471435,3100.0
7,1,0,0.0,0.0,0.0,255.0
8,1,1,0.3701657458563536,0.2567049808429119,0.30316742081447967,1305.0
9,1,2,0.1661721068249258,0.2545454545454545,0.20107719928186715,1100.0
10,1,3,0.13636363636363635,0.15,0.14285714285714282,400.0
11,1,accuracy,0.22058823529411764,0.22058823529411764,0.22058823529411764,0.22058823529411764
12,1,macro avg,0.16817537226122894,0.16531260884709162,0.1617754407383724,3060.0
13,1,weighted avg,0.23542518640373017,0.22058823529411764,0.22024877794634215,3060.0
14,2,0,0.38095238095238093,0.18181818181818182,0.24615384615384614,220.0
15,2,1,0.7086092715231788,0.4040785498489426,0.5146705146705146,1324.0
16,2,2,0.43386243386243384,0.7488584474885844,0.5494137353433837,1095.0
17,2,3,0.0,0.0,0.0,390.0
18,2,accuracy,0.4605480356553318,0.4605480356553318,0.4605480356553318,0.4605480356553318
19,2,macro avg,0.3808560215844984,0.3336887947889272,0.3275595240419361,3029.0
20,2,weighted avg,0.49425142435971525,0.4605480356553318,0.4414610920365179,3029.0
21,3,0,0.13333333333333333,0.4864864864864865,0.20930232558139536,185.0
22,3,1,0.4142857142857143,0.22924901185770752,0.29516539440203565,1265.0
23,3,2,0.16822429906542055,0.1651376146788991,0.16666666666666666,1090.0
24,3,3,0.1956521739130435,0.2465753424657534,0.2181818181818182,365.0
25,3,accuracy,0.22375215146299485,0.22375215146299485,0.22375215146299485,0.22375215146299485
26,3,macro avg,0.22787388014937793,0.2818621138722116,0.22232905120797897,2905.0
27,3,weighted avg,0.27659746116959194,0.22375215146299485,0.2318100462837052,2905.0
28,4,0,0.23504273504273504,0.21568627450980393,0.22494887525562374,255.0
29,4,1,0.4360753221010902,0.6956521739130435,0.536095035028937,1265.0
30,4,2,0.09701492537313433,0.059907834101382486,0.07407407407407407,1085.0
31,4,3,0.6153846153846154,0.1789709172259508,0.2772963604852686,447.0
32,4,accuracy,0.35386631716906947,0.35386631716906947,0.35386631716906947,0.35386631716906947
33,4,macro avg,0.34587939947539376,0.28755429993754517,0.27810358621097586,3052.0
34,4,weighted avg,0.32500304619939396,0.35386631716906947,0.30794365203442814,3052.0
